Time,vx,vy,vz,x,y,z,Bx,By,Bz
1537344690.0,-437.2175983366419,-26.487540166886127,-31.244575813168385,1443619.117625,-215263.5586905,26970.8404035,3.6034969091415405,0.18240366876125336,-0.9160780012607574
1537344750.0,-437.0015411376953,-25.244168281555176,-31.769405364990234,1443616.734226,-215260.328133,26975.0509075,3.6842483282089233,0.3719716817140579,-0.899086058139801
1537344810.0,-436.9560872062308,-25.96095263371702,-32.701829378722145,1443614.3508930001,-215257.0975195,26979.261393,3.5950618982315063,0.32074934244155884,-0.973937451839447
1537344870.0,-436.67161560058594,-26.39965057373047,-32.58389949798584,1443611.9676265,-215253.8668495,26983.471859999998,3.6020787954330444,0.4169570505619049,-1.06853848695755
1537344930.0,-436.06747386494624,-27.941874050703206,-31.579125201115843,1443609.5844265,-215250.6361225,26987.6823085,3.5263718366622925,0.40312016010284424,-1.0449445843696594
1537344990.0,-435.5960235595703,-28.553773880004883,-31.83686637878418,1443607.2012925,-215247.4053395,26991.8927385,3.64767849445343,0.1413969174027443,-0.9886721968650818
1537345050.0,-435.9306125328189,-28.131292905963836,-32.76541425361008,1443604.818225,-215244.1745,26996.103150000003,3.6154075860977173,-0.08689671009778976,-0.9068624675273895
1537345110.0,-436.273681640625,-28.402292251586914,-32.4202299118042,1443602.435224,-215240.943604,27000.313543,3.583218216896057,-0.6094799935817719,-0.8972142040729523
1537345170.0,-436.12817282754867,-28.159947848710857,-32.5633879489586,1443600.052289,-215237.7126515,27004.523918,3.5683557987213135,-0.4819697290658951,-0.9479120969772339
1537345230.0,-436.2999725341797,-28.373506546020508,-33.54440498352051,1443597.6694204998,-215234.48164200003,27008.7342745,3.647945761680603,-0.4403005689382553,-0.9530799984931946
1537345290.0,-436.2758643978932,-28.916168244158634,-33.97444246636062,1443595.2866185,-215231.25057600002,27012.9446125,3.661107897758484,-0.3415149003267288,-0.9412972033023834
1537345350.0,-435.9855499267578,-28.552385330200195,-34.244089126586914,1443592.9038824998,-215228.019454,27017.154931999998,3.7108442783355713,-0.46252842247486115,-0.9604550898075104
1537345410.0,-435.8535816630379,-28.180656995929656,-34.295255629742734,1443590.521213,-215224.788275,27021.365232999997,3.7574830055236816,-0.4633413404226303,-0.8787225484848022
1537345470.0,-435.7167053222656,-28.191909790039062,-34.52891159057617,1443588.13861,-215221.5570395,27025.575515999997,3.7446616888046265,-0.4375678598880768,-0.9672870934009552
1537345530.0,-435.5815849929559,-27.942987723428693,-33.45009156524158,1443585.7560735,-215218.3257475,27029.785780500002,3.7424721717834473,-0.289840430021286,-0.9901419579982758
1537345590.0,-435.7028503417969,-27.849860191345215,-32.27072715759277,1443583.3736035,-215215.094399,27033.9960265,3.8404260873794556,-0.25950007140636444,-0.8456436693668365
1537345650.0,-435.8731084104444,-28.621389607914157,-33.04365439493148,1443580.9912,-215211.862994,27038.206254,3.796446681022644,-0.2560056298971176,-0.8255011439323425
1537345710.0,-435.8995666503906,-28.732239723205566,-34.23906135559082,1443578.6088629998,-215208.631532,27042.416463,3.816943883895874,-0.09947094321250916,-0.7436228692531586
1537345770.0,-435.9813617643763,-28.415208378776175,-34.24626578659308,1443576.226592,-215205.400014,27046.6266535,3.857513904571533,-0.03482660558074713,-0.7536158859729767
1537345830.0,-435.8589782714844,-28.3597469329834,-32.4879093170166,1443573.8443875,-215202.16843949998,27050.836825500002,3.765596032142639,-0.03981858119368553,-0.777091383934021
1537345890.0,-435.66691314196976,-28.77708791513912,-31.6300383395836,1443571.4622499999,-215198.936808,27055.046979500003,3.7843185663223267,-0.044383613392710686,-0.7202371060848236
1537345950.0,-435.67425537109375,-29.23281478881836,-31.83346939086914,1443569.080179,-215195.70512,27059.257115,3.7791305780410767,0.0053397121373564005,-0.6911753714084625
1537346010.0,-435.9000634365394,-29.60243612820985,-33.01495755305056,1443566.698174,-215192.4733755,27063.467232,3.7432048320770264,-0.056214589625597,-0.697017639875412
1537346070.0,-435.9533996582031,-30.335508346557617,-35.026803970336914,1443564.3162355,-215189.24157399999,27067.6773305,3.747507691383362,-0.08664805069565773,-0.6937611997127533
1537346130.0,-435.86726430257164,-31.052851517995197,-34.55447031656901,1443561.9343635,-215186.009716,27071.8874105,3.772890090942383,-0.09089282527565956,-0.650377482175827
1537346190.0,-435.9725797059106,-30.40288124709833,-32.46367986084985,1443559.552558,-215182.777802,27076.097472,3.737977147102356,0.0011467020958662033,-0.7672973871231079
1537346250.0,-436.0745484399014,-28.020091885426005,-31.489214506305633,1443557.1708195,-215179.5458315,27080.307515,3.4989744424819946,-0.9435839653015137,-0.8484462201595306
1537346310.0,-436.4144287109375,-26.370859146118164,-31.98508358001709,1443554.7891475,-215176.31380399998,27084.517539499997,3.4701343774795532,-1.297317087650299,-0.9672267436981201
1537346370.0,-437.2509256998698,-27.129332542419434,-32.68910363515218,1443552.407542,-215173.0817195,27088.727545499998,3.3872268199920654,-1.5620858073234558,-1.1018775701522827
1537346430.0,-436.8701882284196,-27.421073538358094,-32.095111753119795,1443550.0260029999,-215169.8495785,27092.9375335,3.2801510095596313,-1.7086185812950134,-1.10570228099823
1537346490.0,-436.73454009509476,-26.998914124535734,-32.269697939763304,1443547.6445305,-215166.6173815,27097.147503,3.38201105594635,-1.5438979268074036,-1.1364670991897583
1537346550.0,-437.87156677246094,-27.200693130493164,-32.97192192077637,1443545.2631245,-215163.3851275,27101.357454,3.5131144523620605,-1.0979117155075073,-1.0681681036949158
1537346610.0,-439.03863321940105,-27.57642281850179,-32.57726910909017,1443542.8817854999,-215160.1528165,27105.5673865,3.401667594909668,-1.1483537554740906,-1.1682226061820984
1537346670.0,-438.75439803326714,-27.914687328651304,-31.861528240266395,1443540.500513,-215156.9204495,27109.777300499998,3.453222632408142,-1.065150797367096,-1.1424219012260437
1537346730.0,-437.7773202364562,-27.288745223498736,-31.81634096239434,1443538.119307,-215153.688026,27113.987196000002,3.3251960277557373,-1.0470292568206787,-1.0913666486740112
1537346790.0,-437.93265533447266,-27.43742669423421,-32.16518993377686,1443535.738168,-215150.4555455,27118.197073,3.419854998588562,-1.1639531254768372,-1.2931907176971436
1537346850.0,-438.13739013671875,-28.97740364074707,-32.89639854431152,1443533.3570949999,-215147.223008,27122.4069315,3.405845046043396,-1.4212883114814758,-1.0908865332603455
1537346910.0,-437.8601189285028,-29.301530212652487,-33.480033937047736,1443530.976089,-215143.990414,27126.6167715,3.3669110536575317,-1.3729475140571594,-1.1606643199920654
1537346970.0,-437.1115327428599,-29.895129625914528,-33.14764122884782,1443528.59515,-215140.757764,27130.8265935,3.371984839439392,-1.5242910981178284,-0.9864976406097412
1537347030.0,-436.3052495320638,-30.81517686843872,-33.30954380035401,1443526.2142770002,-215137.525057,27135.036397,3.399479389190674,-1.4963605999946594,-0.9757325053215027
1537347090.0,-435.50770568847656,-31.216571807861328,-32.2049446105957,1443523.8334710002,-215134.292293,27139.2461815,3.306563138961792,-1.4424871802330017,-1.2160928845405579
1537347150.0,-435.2833707215356,-31.615645205388304,-30.6202199654501,1443521.452732,-215131.0594725,27143.455948000003,3.3340593576431274,-1.4618840217590332,-1.0033189356327057
1537347210.0,-435.0792981757492,-32.43570912470583,-30.540459335827435,1443519.0720595,-215127.8265955,27147.665696,3.369802236557007,-1.352559506893158,-1.2865004539489746
1537347270.0,-434.81116180419923,-32.29263502756755,-31.01332670847575,1443516.6914535002,-215124.593662,27151.875425,3.2945637702941895,-1.5650168061256409,-0.9803192317485809
